"Date","Price","Open","High","Low","Vol.","Change %"
"10-06-2025","82,391.72","82,643.73","82,647.82","82,247.26","15.06M","-0.06%"
"09-06-2025","82,445.21","82,574.55","82,669.00","82,369.24","11.48M","0.31%"
"06-06-2025","82,188.99","81,434.24","82,299.89","81,140.11","12.37M","0.92%"
"05-06-2025","81,442.04","81,196.08","81,911.13","80,983.73","9.75M","0.55%"
"04-06-2025","80,998.25","80,777.65","81,087.29","80,705.18","7.48M","0.32%"
"03-06-2025","80,737.51","81,492.50","81,774.23","80,575.09","31.98M","-0.78%"
"02-06-2025","81,373.75","81,214.42","81,474.26","80,654.26","9.91M","-0.09%"
"30-05-2025","81,451.01","81,465.69","81,698.21","81,286.45","12.57M","-0.22%"
"29-05-2025","81,633.02","81,591.03","81,816.89","81,106.98","6.78M","0.39%"
"28-05-2025","81,312.32","81,457.61","81,613.36","81,244.02","24.10M","-0.29%"
"27-05-2025","81,551.63","82,038.20","82,410.52","81,121.70","20.69M","-0.76%"
"26-05-2025","82,176.45","81,928.95","82,492.24","81,867.23","10.19M","0.56%"
"23-05-2025","81,721.08","80,897.00","81,905.17","80,897.00","11.96M","0.95%"
"22-05-2025","80,951.99","81,323.05","81,323.24","80,489.92","10.69M","-0.79%"
"21-05-2025","81,596.63","81,327.61","82,021.64","81,237.06","5.75M","0.51%"
"20-05-2025","81,186.44","82,116.17","82,250.42","81,153.70","10.54M","-1.06%"
"19-05-2025","82,059.42","82,354.92","82,424.10","81,964.57","8.08M","-0.33%"
"16-05-2025","82,330.59","82,392.63","82,514.81","82,146.95","15.35M","-0.24%"
"15-05-2025","82,530.74","81,354.43","82,718.14","80,762.16","12.59M","1.48%"
"14-05-2025","81,330.56","81,278.49","81,691.87","80,910.03","15.24M","0.22%"
"13-05-2025","81,148.22","82,249.60","82,572.81","81,043.69","16.20M","-1.55%"
"12-05-2025","82,429.90","80,803.80","82,495.97","80,651.07","10.65M","3.74%"
"09-05-2025","79,454.47","78,968.34","80,032.93","78,968.34","8.75M","-1.10%"
"08-05-2025","80,334.81","80,912.34","80,927.99","79,987.61","10.57M","-0.51%"
"07-05-2025","80,746.78","79,948.80","80,844.63","79,937.48","8.75M","0.13%"
"06-05-2025","80,641.07","80,907.24","80,981.58","80,481.03","12.48M","-0.19%"
"05-05-2025","80,796.84","80,661.62","81,049.03","80,657.71","8.79M","0.37%"
"02-05-2025","80,501.99","80,300.19","81,177.93","80,168.59","12.66M","0.32%"
"30-04-2025","80,242.24","80,370.80","80,525.61","79,879.15","12.23M","-0.06%"
"29-04-2025","80,288.38","80,396.92","80,661.31","80,122.02","16.19M","0.09%"
"28-04-2025","80,218.37","79,343.63","80,321.88","79,341.35","8.49M","1.27%"
"25-04-2025","79,212.53","79,830.15","80,130.66","78,605.81","13.24M","-0.74%"
"24-04-2025","79,801.43","80,058.43","80,173.92","79,724.55","8.23M","-0.39%"
"23-04-2025","80,116.49","80,142.09","80,254.55","79,506.90","11.98M","0.65%"
"22-04-2025","79,595.59","79,728.39","79,824.30","79,253.44","14.81M","0.24%"
"21-04-2025","79,408.50","78,903.09","79,635.05","78,776.06","12.62M","1.09%"
"17-04-2025","78,553.20","76,968.02","78,616.77","76,665.77","11.11M","1.96%"
"16-04-2025","77,044.29","76,996.78","77,110.23","76,543.77","9.50M","0.40%"
"15-04-2025","76,734.89","76,852.06","76,907.63","76,435.07","12.93M","2.10%"
"11-04-2025","75,157.26","74,835.49","75,467.33","74,762.84","14.23M","1.77%"
"09-04-2025","73,847.15","74,103.83","74,103.83","73,673.06","9.15M","-0.51%"
"08-04-2025","74,227.08","74,013.73","74,859.39","73,424.92","17.06M","1.49%"
"07-04-2025","73,137.90","71,449.94","73,403.99","71,425.01","29.37M","-2.95%"
"04-04-2025","75,364.69","76,160.09","76,258.12","75,240.55","11.68M","-1.22%"
"03-04-2025","76,295.36","75,811.86","76,493.74","75,807.55","6.92M","-0.42%"
"02-04-2025","76,617.44","76,146.28","76,680.35","76,064.94","10.75M","0.78%"
"01-04-2025","76,024.51","76,882.58","77,487.05","75,912.18","10.59M","-1.80%"
"28-03-2025","77,414.92","77,690.69","77,766.70","77,185.62","16.70M","-0.25%"
"27-03-2025","77,606.43","77,087.39","77,747.46","77,082.51","12.67M","0.41%"
